D10667_s_at	ENSG00000133392	MYH11
D10704_at	ENSG00000110721	CHKA
D10922_s_at	ENSG00000171049	FPR2
D10923_at	ENSG00000182782	HCAR2
D10923_at	ENSG00000255398	HCAR3
D10925_at	ENSG00000163823	CCR1
D10995_at	ENSG00000135312	HTR1B
D11086_at	ENSG00000147168	IL2RG
D11094_at	ENSG00000161057	PSMC2
D11139_at	ENSG00000102265	TIMP1
D11151_at	ENSG00000151617	EDNRA
D11327_s_at	ENSG00000143851	PTPN7
D12485_at	ENSG00000197594	ENPP1
D12625_at	ENSG00000196712	NF1
D12676_at	ENSG00000138760	SCARB2
D12763_at	ENSG00000115602	IL1RL1
D13168_at	ENSG00000136160	EDNRB
D13264_at	ENSG00000038945	MSR1
D13305_at	ENSG00000110148	CCKBR
D13315_at	ENSG00000124767	GLO1
D13435_at	ENSG00000151665	PIGF
D13540_at	ENSG00000179295	PTPN11
D13626_at	ENSG00000174944	P2RY14
D13627_at	ENSG00000156261	CCT8
D13628_at	ENSG00000154188	ANGPT1
D13630_at	ENSG00000082153	BZW1
D13631_s_at	ENSG00000129675	ARHGEF6
D13633_at	ENSG00000126787	DLGAP5
D13635_at	ENSG00000009335	UBE3C
D13636_at	ENSG00000115207	GTF3C2
D13637_at	ENSG00000174125	TLR1
D13638_s_at	ENSG00000198826	ARHGAP11A
D13639_at	ENSG00000118971	CCND2
D13640_at	ENSG00000100034	PPM1F
D13641_at	ENSG00000173726	TOMM20
D13642_at	ENSG00000189091	SF3B3
D13643_at	ENSG00000116133	DHCR24
D13644_at	ENSG00000148429	USP6NL
D13666_s_at	ENSG00000133110	POSTN
D13814_s_at	ENSG00000144891	AGTR1
D13969_at	ENSG00000277258	PCGF2
D13988_at	ENSG00000057608	GDI2
D14043_at	ENSG00000135535	CD164
D14497_at	ENSG00000107968	MAP3K8
D14520_at	ENSG00000102554	KLF5
D14533_at	ENSG00000136936	XPA
D14657_at	ENSG00000166803	KIAA0101
D14658_at	ENSG00000118363	SPCS2
D14658_at	ENSG00000228589	SPCS2P4
D14659_at	ENSG00000104412	EMC2
D14660_at	ENSG00000115364	MRPL19
D14662_at	ENSG00000117592	PRDX6
D14664_at	ENSG00000241399	CD302
D14678_at	ENSG00000237649	KIFC1
D14686_at	ENSG00000145020	AMT
D14686_at	ENSG00000283189	RP11-949J7.8
D14689_at	ENSG00000126883	NUP214
D14694_at	ENSG00000156471	PTDSS1
D14695_at	ENSG00000051108	HERPUD1
D14811_at	ENSG00000124688	MAD2L1BP
D14822_at	ENSG00000079102	RUNX1T1
D14823_at	ENSG00000079102	RUNX1T1
D14826_s_at	ENSG00000095794	CREM
D14874_at	ENSG00000148926	ADM
D14878_at	ENSG00000151465	CDC123
D15049_at	ENSG00000080031	PTPRH
D15050_at	ENSG00000142178	SIK1
D15050_at	ENSG00000275993	CH507-42P11.8
D15057_at	ENSG00000129562	DAD1
D16181_at	ENSG00000147588	PMP2
D16227_at	ENSG00000115756	HPCAL1
D16294_at	ENSG00000167315	ACAA2
D16294_at	ENSG00000233585	AC115617.2
D16350_at	ENSG00000005187	ACSM3
D16469_at	ENSG00000071553	ATP6AP1
D16480_at	ENSG00000084754	HADHA
D16481_at	ENSG00000138029	HADHB
D16532_at	ENSG00000147852	VLDLR
D16593_at	ENSG00000121905	HPCA
D16611_s_at	ENSG00000080819	CPOX
D16626_at	ENSG00000084110	HAL
D16688_s_at	ENSG00000171843	MLLT3
D16815_at	ENSG00000174738	NR1D2
D16827_s_at	ENSG00000162009	SSTR5
D17357_at	ENSG00000122641	INHBA
D17391_at	ENSG00000081052	COL4A4
D17400_at	ENSG00000150787	PTS
D17408_s_at	ENSG00000130176	CNN1
D17461_at	ENSG00000234770	GULOP
D17516_at	ENSG00000078549	ADCYAP1R1
D17525_at	ENSG00000127241	MASP1
D17532_at	ENSG00000110367	DDX6
D17547_at	ENSG00000080166	DCT
D17570_s_at	ENSG00000042813	ZPBP
D17793_at	ENSG00000196139	AKR1C3
D21063_at	ENSG00000073111	MCM2
D21090_at	ENSG00000119318	RAD23B
D21163_at	ENSG00000108883	EFTUD2
D21239_at	ENSG00000107263	RAPGEF1
D21241_xpt1_s_at	ENSG00000137869	CYP19A1
D21260_at	ENSG00000141367	CLTC
D21262_at	ENSG00000166197	NOLC1
D21267_at	ENSG00000132639	SNAP25
D21337_at	ENSG00000197565	COL4A6
D21851_at	ENSG00000011376	LARS2
D21852_at	ENSG00000048991	R3HDM1
D21878_at	ENSG00000109743	BST1
D25215_at	ENSG00000138641	HERC3
D25217_at	ENSG00000100427	MLC1
D25274_at	ENSG00000136238	RAC1
D25303_at	ENSG00000144668	ITGA9
D25304_at	ENSG00000129675	ARHGEF6
D25328_at	ENSG00000067057	PFKP
D25538_at	ENSG00000121281	ADCY7
D25539_at	ENSG00000235750	KIAA0040
D26067_at	ENSG00000166471	TMEM41B
D26070_at	ENSG00000150995	ITPR1
D26129_at	ENSG00000129538	RNASE1
D26155_s_at	ENSG00000080503	SMARCA2
D26156_s_at	ENSG00000127616	SMARCA4
D26308_at	ENSG00000090013	BLVRB
D26350_at	ENSG00000123104	ITPR2
D26361_at	ENSG00000118193	KIF14
D26579_at	ENSG00000151651	ADAM8
D28118_at	ENSG00000136451	VEZF1
D28118_at	ENSG00000236229	VEZF1P1
D28137_at	ENSG00000130303	BST2
D28235_s_at	ENSG00000073756	PTGS2
D28364_at	ENSG00000182718	ANXA2
D28383_at	ENSG00000116459	ATP5F1
D28423_at	ENSG00000112081	SRSF3
D28473_s_at	ENSG00000196305	IARS
D28476_at	ENSG00000153827	TRIP12
D28539_s_at	ENSG00000168959	GRM5
D28589_at	ENSG00000212588	SNORA26
D28589_at	ENSG00000226950	DANCR
D28791_at	ENSG00000165195	PIGA
D28915_at	ENSG00000137965	IFI44
D29640_s_at	ENSG00000140575	IQGAP1
D29641_at	ENSG00000039123	SKIV2L2
D29642_at	ENSG00000163219	ARHGAP25
D29643_at	ENSG00000244038	DDOST
D29675_at	ENSG00000007171	NOS2
D29677_at	ENSG00000198265	HELZ
D29805_at	ENSG00000086062	B4GALT1
D29810_at	ENSG00000057019	DCBLD2
D29956_at	ENSG00000138592	USP8
D29958_at	ENSG00000075914	EXOSC7
D29992_at	ENSG00000105825	TFPI2
D30037_at	ENSG00000180957	PITPNB
D30655_at	ENSG00000156976	EIF4A2
D30715_xpt5_s_at	ENSG00000172016	REG3A
